Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Aberdeen, SD",10100,Micropolitan Statistical Area,SD,41790,-0.004336224,42213,42151,41972,41790,-78,-62,-179,-182,120,472,460,468,107,497,447,411,13,-25,13,57,4,62,69,59,-88,-122,-256,-301,-84,-60,-187,-242,-7,23,-5,3
"Aberdeen, WA",10140,Micropolitan Statistical Area,WA,77290,0.003232045,75855,76838,77041,77290,221,983,203,249,171,686,685,675,253,1019,1186,1152,-82,-333,-501,-477,0,11,39,28,324,1334,655,696,324,1345,694,724,-21,-29,10,2
"Abilene, TX",10180,Metropolitan Statistical Area,TX,181591,0.010719951,176883,177831,179665,181591,321,948,1834,1926,500,2145,2273,2321,431,2378,2303,2053,69,-233,-30,268,2,142,472,536,205,990,1403,1121,207,1132,1875,1657,45,49,-11,1
"Ada, OK",10220,Micropolitan Statistical Area,OK,38396,0.009570888,38095,38184,38032,38396,24,89,-152,364,110,496,462,458,117,554,603,549,-7,-58,-141,-91,0,3,6,11,19,119,-4,446,19,122,2,457,12,25,-13,-2
"Adrian, MI",10300,Micropolitan Statistical Area,MI,97520,-0.007733008,99325,99100,98280,97520,-97,-225,-820,-760,248,894,827,739,276,1307,1318,1191,-28,-413,-491,-452,2,36,126,105,-84,79,-432,-413,-82,115,-306,-308,13,73,-23,0
"Aguadilla, PR",10380,Metropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",10420,Metropolitan Statistical Area,OH,698398,0.001271665,701674,696512,697511,698398,-551,-5162,999,887,1704,6715,6826,6793,2175,8652,9197,8066,-471,-1937,-2371,-1273,31,538,1226,1481,-285,-3931,2304,666,-254,-3393,3530,2147,174,168,-160,13
"Alamogordo, NM",10460,Micropolitan Statistical Area,NM,68835,0.004641184,67862,68486,68517,68835,27,624,31,318,210,771,712,687,186,790,843,774,24,-19,-131,-87,7,156,295,232,-25,461,-96,170,-18,617,199,402,21,26,-37,3
"Alamosa, CO",10480,Micropolitan Statistical Area,CO,27804,0.000539782,27330,27774,27789,27804,-6,444,15,15,89,332,325,323,83,316,365,350,6,16,-40,-27,0,9,24,23,-17,425,43,18,-17,434,67,41,5,-6,-12,1
"Albany, GA",10500,Metropolitan Statistical Area,GA,145508,-0.001975363,148249,144933,145796,145508,-666,-3316,863,-288,444,1717,1686,1712,599,1866,1960,1801,-155,-149,-274,-89,1,19,75,96,-473,-3016,1019,-297,-472,-2997,1094,-201,-39,-170,43,2
"Albany, OR",10540,Metropolitan Statistical Area,OR,131496,0.006691063,128981,130120,130622,131496,370,1139,502,874,358,1480,1433,1391,387,1528,1726,1576,-29,-48,-293,-185,1,6,28,10,409,1149,776,1045,410,1155,804,1055,-11,32,-9,4
"Albany-Schenectady-Troy, NY",10580,Metropolitan Statistical Area,NY,904682,0.001202973,899724,904824,903595,904682,477,5100,-1229,1087,2168,8397,8581,8581,2322,9223,9360,8874,-154,-826,-779,-293,19,844,2103,2012,769,4765,-2109,-643,788,5609,-6,1369,-157,317,-444,11
"Albemarle, NC",10620,Micropolitan Statistical Area,NC,65699,0.022855008,62642,63100,64231,65699,137,458,1131,1468,136,648,707,704,210,892,913,844,-74,-244,-206,-140,0,6,34,59,216,688,1273,1551,216,694,1307,1610,-5,8,30,-2
"Albert Lea, MN",10660,Micropolitan Statistical Area,MN,30515,-0.005475345,30896,30803,30683,30515,3,-93,-120,-168,89,308,313,311,97,399,409,394,-8,-91,-96,-83,0,17,21,20,4,-37,-30,-105,4,-20,-9,-85,7,18,-15,0
"Albertville, AL",10700,Micropolitan Statistical Area,AL,100756,0.013356399,97702,98286,99428,100756,91,584,1142,1328,340,1459,1514,1535,314,1506,1423,1256,26,-47,91,279,4,46,137,181,27,534,915,866,31,580,1052,1047,34,51,-1,2
"Albuquerque, NM",10740,Metropolitan Statistical Area,NM,922296,0.0023453,917579,919392,920138,922296,1034,1813,746,2158,2139,8699,8784,8771,2256,9950,10273,8733,-117,-1251,-1489,38,85,1051,2622,1829,871,1575,-46,324,956,2626,2576,2153,195,438,-341,-33
"Alexander City, AL",10760,Micropolitan Statistical Area,AL,40677,-0.005768338,41284,41099,40913,40677,-25,-185,-186,-236,103,397,389,392,144,718,697,637,-41,-321,-308,-245,0,4,13,19,6,114,120,-11,6,118,133,8,10,18,-11,1
"Alexandria, LA",10780,Metropolitan Statistical Area,LA,148171,-0.006017388,151800,150882,149068,148171,-384,-918,-1814,-897,467,1923,1934,1892,519,2297,2238,1933,-52,-374,-304,-41,1,50,116,91,-332,-651,-1643,-955,-331,-601,-1527,-864,-1,57,17,8
"Alexandria, MN",10820,Micropolitan Statistical Area,MN,39953,0.006778551,39087,39298,39684,39953,91,211,386,269,105,398,397,396,103,492,461,443,2,-94,-64,-47,0,7,34,33,90,288,423,285,90,295,457,318,-1,10,-7,-2
"Alice, TX",10860,Micropolitan Statistical Area,TX,45510,-0.002651706,45927,45862,45631,45510,-45,-65,-231,-121,158,587,597,607,111,687,689,625,47,-100,-92,-18,0,23,40,46,-92,-17,-168,-146,-92,6,-128,-100,0,29,-11,-3
"Allentown-Bethlehem-Easton, PA-NJ",10900,Metropolitan Statistical Area,PA-NJ,873555,0.003428788,861557,870135,870570,873555,-353,8578,435,2985,2081,8409,8370,8326,2919,9518,9711,8848,-838,-1109,-1341,-522,53,1011,2553,2551,180,8558,-365,963,233,9569,2188,3514,252,118,-412,-7
"Alma, MI",10940,Micropolitan Statistical Area,MI,41368,0.006422733,41683,41286,41104,41368,-79,-397,-182,264,87,357,352,355,136,541,541,496,-49,-184,-189,-141,0,3,9,14,-35,-230,24,390,-35,-227,33,404,5,14,-26,1
"Alpena, MI",10980,Micropolitan Statistical Area,MI,28904,0.002462456,28886,28939,28833,28904,-26,53,-106,71,61,277,277,269,89,435,484,447,-28,-158,-207,-178,0,0,2,4,-3,201,113,246,-3,201,115,250,5,10,-14,-1
"Altoona, PA",11020,Metropolitan Statistical Area,PA,120273,-0.003818311,122666,122150,120734,120273,-161,-516,-1416,-461,287,1156,1137,1123,386,1956,1884,1685,-99,-800,-747,-562,0,17,49,54,-82,180,-703,46,-82,197,-654,100,20,87,-15,1
"Altus, OK",11060,Micropolitan Statistical Area,OK,24669,0.000405531,24747,24744,24659,24669,-47,-3,-85,10,76,352,362,358,62,338,294,276,14,14,68,82,1,1,28,52,-61,-37,-178,-121,-60,-36,-150,-69,-1,19,-3,-3
"Amarillo, TX",11100,Metropolitan Statistical Area,TX,272395,0.006674329,269029,269804,270589,272395,346,775,785,1806,819,3250,3564,3661,655,3327,3175,2833,164,-77,389,828,2,256,584,631,173,660,-294,352,175,916,290,983,7,-64,106,-5
"Americus, GA",11140,Micropolitan Statistical Area,GA,33416,0.001648632,34056,33467,33361,33416,-107,-589,-106,55,100,391,391,399,124,475,480,447,-24,-84,-89,-48,0,12,16,17,-84,-500,-13,84,-84,-488,3,101,1,-17,-20,2
"Ames, IA",11180,Metropolitan Statistical Area,IA,125156,0.002563363,125347,126440,124836,125156,105,1093,-1604,320,259,1054,1114,1121,197,955,1021,975,62,99,93,146,16,280,691,467,-16,638,-2538,-297,0,918,-1847,170,43,76,150,4
"Amherst Town-Northampton, MA",11200,Metropolitan Statistical Area,MA,162502,-9.84506E-05,146616,163128,162518,162502,-15700,16512,-610,-16,262,900,939,937,459,1371,1432,1419,-197,-471,-493,-482,6,278,626,755,-12307,17970,-716,-292,-12301,18248,-90,463,-3202,-1265,-27,3
"Amsterdam, NY",11220,Micropolitan Statistical Area,NY,49368,0.000709464,49485,49482,49333,49368,-42,-3,-149,35,155,592,602,603,140,741,737,704,15,-149,-135,-101,0,9,24,27,-61,111,-8,111,-61,120,16,138,4,26,-30,-2
"Anchorage, AK",11260,Metropolitan Statistical Area,AK,401314,0.00214506,398397,400167,400455,401314,85,1770,288,859,1305,4981,4976,4943,646,2900,3507,3039,659,2081,1469,1904,46,563,1366,1172,-637,-772,-2653,-2214,-591,-209,-1287,-1042,17,-102,106,-3
"Anderson Creek, NC",11360,Micropolitan Statistical Area,NC,141477,0.02165687,133757,135586,138478,141477,186,1829,2892,2999,455,1844,1860,1858,319,1339,1418,1299,136,505,442,559,-1,48,135,210,1,1243,2255,2212,0,1291,2390,2422,50,33,60,18
"Andrews, TX",11380,Micropolitan Statistical Area,TX,18664,0.018554901,18612,18411,18324,18664,4,-201,-87,340,66,268,284,292,28,161,161,152,38,107,123,140,0,34,76,69,-37,-330,-291,131,-37,-296,-215,200,3,-12,5,0
"Angola, IN",11420,Micropolitan Statistical Area,IN,34917,0.004170022,34441,34702,34772,34917,2,261,70,145,80,345,357,356,99,367,403,375,-19,-22,-46,-19,0,10,18,20,12,265,115,145,12,275,133,165,9,8,-17,-1
"Ann Arbor, MI",11460,Metropolitan Statistical Area,MI,365536,-0.002641172,371834,365013,366504,365536,-424,-6821,1491,-968,890,3173,3302,2936,729,2665,2655,2375,161,508,647,561,21,636,1592,2074,-628,-7610,-538,-3642,-607,-6974,1054,-1568,22,-355,-210,39
"Anniston-Oxford, AL",11500,Metropolitan Statistical Area,AL,116429,0.005605459,116243,115678,115780,116429,-198,-565,102,649,305,1250,1334,1346,397,1843,1852,1649,-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0
"Appleton, WI",11540,Metropolitan Statistical Area,WI,246433,0.00592699,243451,243903,244981,246433,298,452,1078,1452,654,2504,2596,2566,465,2167,2159,1992,189,337,437,574,0,58,214,363,33,-89,581,516,33,-31,795,879,76,146,-154,-1
"Arcadia, FL",11580,Micropolitan Statistical Area,FL,35979,0.018657984,34086,34333,35320,35979,110,247,987,659,79,361,402,409,115,459,465,435,-36,-98,-63,-26,0,39,75,132,158,302,939,548,158,341,1014,680,-12,4,36,5
"Ardmore, OK",11620,Micropolitan Statistical Area,OK,48596,0.005379014,48042,48254,48336,48596,36,212,82,260,158,591,610,608,149,814,839,747,9,-223,-229,-139,0,28,56,79,11,389,270,316,11,417,326,395,16,18,-15,4
"Arecibo, PR",11640,Metropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkadelphia, AR",11660,Micropolitan Statistical Area,AR,21274,-9.40026E-05,21385,21244,21276,21274,-60,-141,32,-2,60,240,239,239,68,300,302,289,-8,-60,-63,-50,0,4,4,8,-50,-88,103,40,-50,-84,107,48,-2,3,-12,0
"Arkansas City-Winfield, KS",11680,Micropolitan Statistical Area,KS,34157,-0.007727392,34534,34624,34423,34157,-20,90,-201,-266,93,411,414,414,102,543,528,493,-9,-132,-114,-79,0,1,30,11,-17,204,-110,-201,-17,205,-80,-190,6,17,-7,3
"Asheville, NC",11700,Metropolitan Statistical Area,NC,417202,0.007809764,407563,410828,413969,417202,630,3265,3141,3233,879,3550,3669,3653,1203,4976,5190,4748,-324,-1426,-1521,-1095,7,218,510,582,955,4496,4075,3728,962,4714,4585,4310,-8,-23,77,18
"Ashland, OH",11740,Micropolitan Statistical Area,OH,52190,0.003190835,52470,52183,52024,52190,33,-287,-159,166,136,548,574,571,133,708,739,691,3,-160,-165,-120,0,14,16,20,13,-161,21,269,13,-147,37,289,17,20,-31,-3
"Astoria, OR",11820,Micropolitan Statistical Area,OR,41102,-0.013204648,41162,41932,41652,41102,86,770,-280,-550,98,363,323,304,93,475,554,540,5,-112,-231,-236,0,12,38,27,85,901,-63,-334,85,913,-25,-307,-4,-31,-24,-7
"Atchison, KS",11860,Micropolitan Statistical Area,KS,16016,-0.002304865,16328,16236,16053,16016,-19,-92,-183,-37,38,158,175,172,34,193,227,218,4,-35,-52,-46,0,-1,3,1,-25,-64,-135,7,-25,-65,-132,8,2,8,1,1
"Athens, OH",11900,Micropolitan Statistical Area,OH,62706,0.029976512,62393,59096,60881,62706,-44,-3297,1785,1825,116,462,462,456,126,640,664,607,-10,-178,-202,-151,3,88,266,315,-52,-2983,1582,1645,-49,-2895,1848,1960,15,-224,139,16
"Athens, TN",11940,Micropolitan Statistical Area,TN,69369,0.020837932,66151,66940,67953,69369,126,789,1013,1416,161,703,729,721,242,1093,1179,1061,-81,-390,-450,-340,1,10,2,16,213,1185,1408,1743,214,1195,1410,1759,-7,-16,53,-3
"Athens, TX",11980,Micropolitan Statistical Area,TX,86158,0.019741981,82403,83653,84490,86158,256,1250,837,1668,212,959,952,964,299,1488,1550,1349,-87,-529,-598,-385,0,-2,11,15,368,1833,1379,2040,368,1831,1390,2055,-25,-52,45,-2
"Athens-Clarke County, GA",12020,Metropolitan Statistical Area,GA,222060,0.007847284,215712,218314,220331,222060,290,2602,2017,1729,526,2155,2235,2252,413,1820,1938,1790,113,335,297,462,3,192,458,500,153,2045,1351,785,156,2237,1809,1285,21,30,-89,-18
"Atlanta-Sandy Springs-Roswell, GA",12060,Metropolitan Statistical Area,GA,6307261,0.010993518,6120849,6159696,6238676,6307261,14002,38847,78980,68585,16856,68147,71007,70969,11690,50785,51438,44837,5166,17362,19569,26132,594,8386,22146,24126,7370,12747,38169,18386,7964,21133,60315,42512,872,352,-904,-59
"Atlantic City-Hammonton, NJ",12100,Metropolitan Statistical Area,NJ,369823,-0.002599875,369234,370662,370787,369823,-564,1428,125,-964,889,3471,3514,3523,1350,4895,4691,4381,-461,-1424,-1177,-858,7,290,717,961,-188,2445,798,-1069,-181,2735,1515,-108,78,117,-213,2
"Auburn, IN",12140,Micropolitan Statistical Area,IN,44198,0.008787346,43292,43395,43813,44198,32,103,418,385,128,550,557,544,112,525,494,474,16,25,63,70,0,4,9,11,7,40,356,305,7,44,365,316,9,34,-10,-1
"Auburn, NY",12180,Micropolitan Statistical Area,NY,74485,-0.002597785,76147,75451,74679,74485,-106,-696,-772,-194,186,690,669,669,214,964,931,877,-28,-274,-262,-208,0,11,27,27,-85,-450,-524,-13,-85,-439,-497,14,7,17,-13,0
"Auburn-Opelika, AL",12220,Metropolitan Statistical Area,AL,201585,0.011820509,194218,196501,199230,201585,444,2283,2729,2355,489,1979,2104,2061,401,1701,1718,1554,88,278,386,507,20,183,518,599,282,1820,1829,1250,302,2003,2347,1849,54,2,-4,-1
"Augusta-Richmond County, GA-SC",12260,Metropolitan Statistical Area,GA-SC,629429,0.008724569,612172,616187,623985,629429,1194,4015,7798,5444,1761,6981,7482,7621,1601,7220,7168,6731,160,-239,314,890,21,228,591,618,948,3959,6855,3942,969,4187,7446,4560,65,67,38,-6
"Augusta-Waterville, ME",12300,Micropolitan Statistical Area,ME,127259,0.005721737,124712,125752,126535,127259,209,1040,783,724,279,1090,1109,1110,372,1484,1700,1605,-93,-394,-591,-495,2,49,132,127,297,1379,1226,1092,299,1428,1358,1219,3,6,16,0
"Austin, MN",12380,Micropolitan Statistical Area,MN,40058,0.00019975,40059,40219,40050,40058,26,160,-169,8,128,474,496,499,92,420,466,441,36,54,30,58,2,110,192,227,-20,-28,-394,-278,-18,82,-202,-51,8,24,3,1
"Austin-Round Rock-San Marcos, TX",12420,Metropolitan Statistical Area,TX,2473275,0.02067746,2300135,2358634,2423170,2473275,16756,58499,64536,50105,6350,26915,28905,29371,3310,14217,14223,12564,3040,12698,14682,16807,190,3577,9935,11073,14553,43465,38054,22339,14743,47042,47989,33412,-1027,-1241,1865,-114
"Bainbridge, GA",12460,Micropolitan Statistical Area,GA,29087,0.002343292,29326,29091,29019,29087,-42,-235,-72,68,59,372,338,351,98,416,404,377,-39,-44,-66,-26,0,4,5,10,-10,-205,5,84,-10,-201,10,94,7,10,-16,0
"Baker City, OR",12520,Micropolitan Statistical Area,OR,16912,-0.001476058,16731,16880,16937,16912,60,149,57,-25,45,157,152,144,48,258,279,270,-3,-101,-127,-126,0,5,7,4,68,249,174,98,68,254,181,102,-5,-4,3,-1
"Bakersfield-Delano, CA",12540,Metropolitan Statistical Area,CA,913820,-0.00319716,905910,912709,916751,913820,-3319,6799,4042,-2931,2944,12252,12751,12077,1721,8360,8070,7622,1223,3892,4681,4455,-17,320,1149,1659,-3897,1956,-1383,-9169,-3914,2276,-234,-7510,-628,631,-405,124
"Baltimore-Columbia-Towson, MD",12580,Metropolitan Statistical Area,MD,2834316,-0.00017532,2842668,2843219,2834813,2834316,-1855,551,-8406,-497,7990,31313,31963,31776,8127,29731,28632,26568,-137,1582,3331,5208,76,2699,6568,9294,-2296,-5102,-17696,-15008,-2220,-2403,-11128,-5714,502,1372,-609,9
"Bangor, ME",12620,Metropolitan Statistical Area,ME,155312,0.003774365,152169,153359,154728,155312,-18,1190,1369,584,307,1253,1298,1298,404,1883,2088,1950,-97,-630,-790,-652,5,88,231,205,23,1714,1890,1032,28,1802,2121,1237,51,18,38,-1
"Baraboo, WI",12660,Micropolitan Statistical Area,WI,65920,0.002280675,65784,65702,65770,65920,18,-82,68,150,180,656,702,701,162,733,782,733,18,-77,-80,-32,1,23,120,183,-12,-78,65,0,-11,-55,185,183,11,50,-37,-1
"Barnstable Town, MA",12700,Metropolitan Statistical Area,MA,231735,-0.001477951,228012,232315,232078,231735,-983,4303,-237,-343,354,1412,1519,1504,895,3192,3319,3208,-541,-1780,-1800,-1704,4,276,704,836,-352,6095,950,539,-348,6371,1654,1375,-94,-288,-91,-14
"Barre, VT",12740,Micropolitan Statistical Area,VT,60142,0.000449139,59757,60033,60115,60142,-43,276,82,27,111,446,472,443,160,606,638,609,-49,-160,-166,-166,0,11,35,39,-13,413,241,157,-13,424,276,196,19,12,-28,-3
"Bartlesville, OK",12780,Micropolitan Statistical Area,OK,53706,0.008790713,52615,52903,53238,53706,160,288,335,468,147,603,579,579,155,738,800,702,-8,-135,-221,-123,0,23,61,89,168,375,517,508,168,398,578,597,0,25,-22,-6
"Batavia, NY",12860,Micropolitan Statistical Area,NY,57529,0.002282309,58302,57889,57398,57529,-81,-413,-491,131,157,509,542,542,160,762,730,691,-3,-253,-188,-149,0,5,10,10,-84,-200,-302,272,-84,-195,-292,282,6,35,-11,-2
"Batesville, AR",12900,Micropolitan Statistical Area,AR,38320,0.00172531,37940,38100,38254,38320,9,160,154,66,109,438,471,474,103,553,544,487,6,-115,-73,-13,0,2,1,2,-9,270,243,78,-9,272,244,80,12,3,-17,-1
"Baton Rouge, LA",12940,Metropolitan Statistical Area,LA,873661,0.001506281,870286,872646,872347,873661,-294,2360,-299,1314,2508,10580,10641,10460,2552,9246,9625,8348,-44,1334,1016,2112,57,757,1846,2125,-395,108,-3116,-2938,-338,865,-1270,-813,88,161,-45,15
"Battle Creek, MI",12980,Metropolitan Statistical Area,MI,133366,-0.000434704,134200,133878,133424,133366,-97,-322,-454,-58,379,1490,1536,1517,442,1941,1846,1670,-63,-451,-310,-153,0,40,87,94,-60,-3,-161,-1,-60,37,-74,93,26,92,-70,2
"Bay City, MI",13020,Metropolitan Statistical Area,MI,102500,-0.001344531,103742,103108,102638,102500,-113,-634,-470,-138,251,900,912,865,333,1635,1576,1409,-82,-735,-664,-544,0,0,12,14,-50,24,243,396,-50,24,255,410,19,77,-61,-4
"Bay City, TX",13060,Micropolitan Statistical Area,TX,36359,0.006561098,36287,36339,36122,36359,33,52,-217,237,135,483,545,557,97,505,469,442,38,-22,76,115,2,52,146,150,-15,-6,-441,-28,-13,46,-295,122,8,28,2,0
"Beatrice, NE",13100,Micropolitan Statistical Area,NE,21634,0.003246151,21656,21633,21564,21634,-51,-23,-69,70,35,221,211,206,68,305,341,337,-33,-84,-130,-131,0,5,5,9,-21,44,63,195,-21,49,68,204,3,12,-7,-3
"Beaumont-Port Arthur, TX",13140,Metropolitan Statistical Area,TX,395479,0.002509576,397237,395526,394489,395479,-329,-1711,-1037,990,1157,4940,5031,5124,1159,5081,5156,4509,-2,-141,-125,615,0,256,650,709,-375,-1898,-1529,-331,-375,-1642,-879,378,48,72,-33,-3
"Beaver Dam, WI",13180,Micropolitan Statistical Area,WI,88231,-0.001618123,89353,88689,88374,88231,-41,-664,-315,-143,193,744,760,756,239,1175,1156,1064,-46,-431,-396,-308,0,30,67,115,-16,-293,72,48,-16,-263,139,163,21,30,-58,2
"Beckley, WV",13220,Metropolitan Statistical Area,WV,111428,-0.006783196,114822,113815,112189,111428,-244,-1007,-1626,-761,282,1033,1034,1033,420,2033,2257,1911,-138,-1000,-1223,-878,0,18,62,34,-118,-94,-427,81,-118,-76,-365,115,12,69,-38,2
"Bedford, IN",13260,Micropolitan Statistical Area,IN,45084,-0.003249983,45016,45066,45231,45084,1,50,165,-147,103,450,500,502,159,670,747,674,-56,-220,-247,-172,0,8,19,14,49,241,404,13,49,249,423,27,8,21,-11,-2
"Beeville, TX",13300,Micropolitan Statistical Area,TX,30850,-0.004581828,31038,30836,30992,30850,-12,-202,156,-142,85,329,311,313,84,352,398,374,1,-23,-87,-61,0,4,12,11,-24,-200,224,-95,-24,-196,236,-84,11,17,7,3
"Bellefontaine, OH",13340,Micropolitan Statistical Area,OH,46057,-0.000108549,46116,46158,46062,46057,-37,42,-96,-5,143,501,516,524,124,579,611,537,19,-78,-95,-13,0,7,16,19,-64,81,10,-9,-64,88,26,10,8,32,-27,-2
"Bellingham, WA",13380,Metropolitan Statistical Area,WA,231919,0.005728584,227449,226701,230598,231919,597,-748,3897,1321,522,1989,2004,1969,460,2027,2164,2076,62,-38,-160,-107,7,208,533,379,514,-999,3302,1034,521,-791,3835,1413,14,81,222,15
"Bemidji, MN",13420,Micropolitan Statistical Area,MN,46718,0.00445056,46255,46481,46511,46718,17,226,30,207,134,607,577,574,127,509,526,514,7,98,51,60,0,14,21,19,-7,84,-18,127,-7,98,3,146,17,30,-24,1
"Bend, OR",13460,Metropolitan Statistical Area,OR,260919,0.01059322,248974,256150,258184,260919,1477,7176,2034,2735,598,2284,2424,2354,501,2309,2522,2348,97,-25,-98,6,0,19,119,45,1515,7513,1947,2660,1515,7532,2066,2705,-135,-331,66,24
"Bennington, VT",13540,Micropolitan Statistical Area,VT,37183,-0.004284605,37301,37431,37343,37183,-41,130,-88,-160,76,272,273,263,112,493,573,545,-36,-221,-300,-282,0,33,66,77,-8,305,166,47,-8,338,232,124,3,13,-20,-2
"Big Rapids, MI",13660,Micropolitan Statistical Area,MI,41099,0.007773037,39790,40048,40782,41099,84,258,734,317,111,366,425,414,110,494,481,444,1,-128,-56,-30,0,5,8,10,79,380,755,335,79,385,763,345,4,1,27,2
"Big Spring, TX",13700,Micropolitan Statistical Area,TX,30554,-0.005792008,34816,34365,30732,30554,-50,-451,-3633,-178,104,389,362,376,98,464,463,427,6,-75,-101,-51,0,36,69,70,-65,-419,-3913,-201,-65,-383,-3844,-131,9,7,312,4
"Billings, MT",13740,Metropolitan Statistical Area,MT,191435,0.006096439,184726,187351,190275,191435,560,2625,2924,1160,486,1981,1985,1985,438,2124,2224,1911,48,-143,-239,74,7,117,282,68,499,2674,2808,1016,506,2791,3090,1084,6,-23,73,2
"Binghamton, NY",13780,Metropolitan Statistical Area,NY,243792,-0.005028079,246504,246642,245024,243792,-631,138,-1618,-1232,542,2268,2332,2337,711,3111,3005,2857,-169,-843,-673,-520,6,189,482,454,-471,712,-1364,-1170,-465,901,-882,-716,3,80,-63,4
"Birmingham, AL",13820,Metropolitan Statistical Area,AL,1184290,0.002967515,1181776,1181650,1180786,1184290,1144,-126,-864,3504,3194,13286,13545,13683,3446,15677,15016,13206,-252,-2391,-1471,477,34,459,932,1197,1185,1389,-33,1843,1219,1848,899,3040,177,417,-292,-13
"Bishop, CA",13860,Micropolitan Statistical Area,CA,18527,-0.011471561,18987,18924,18742,18527,-31,-63,-182,-215,28,175,166,161,55,212,188,222,-27,-37,-22,-61,0,2,0,1,-7,-41,-152,-154,-7,-39,-152,-153,3,13,-8,-1
"Bismarck, ND",13900,Metropolitan Statistical Area,ND,135786,0.006097968,133785,134406,134963,135786,158,621,557,823,401,1625,1619,1580,296,1395,1280,1174,105,230,339,406,1,46,188,328,23,253,105,88,24,299,293,416,29,92,-75,1
"Blackfoot, ID",13940,Micropolitan Statistical Area,ID,50395,0.00844456,48097,48929,49973,50395,114,832,1044,422,152,669,664,667,107,482,519,471,45,187,145,196,1,9,8,7,55,632,870,219,56,641,878,226,13,4,21,0
"Blacksburg-Christiansburg-Radford, VA",13980,Metropolitan Statistical Area,VA,181428,0.000799854,181756,181213,181283,181428,-98,-543,70,145,370,1373,1344,1332,415,2028,2040,1941,-45,-655,-696,-609,17,270,796,618,-83,-179,0,131,-66,91,796,749,13,21,-30,5
"Bloomington, IL",14010,Metropolitan Statistical Area,IL,170441,-0.002790812,170949,171109,170918,170441,-7,160,-191,-477,416,1700,1691,1692,310,1496,1455,1356,106,204,236,336,12,207,481,605,-155,-375,-863,-1426,-143,-168,-382,-821,30,124,-45,8
"Bloomington, IN",14020,Metropolitan Statistical Area,IN,160874,-0.001452442,160903,161690,161108,160874,-135,787,-582,-234,332,1341,1243,1201,362,1468,1501,1387,-30,-127,-258,-186,18,352,762,918,-153,441,-1064,-980,-135,793,-302,-62,30,121,-22,14
"Bloomsburg-Berwick, PA",14100,Micropolitan Statistical Area,PA,65439,0.002297477,64686,64981,65289,65439,-36,295,308,150,131,525,546,542,202,831,881,821,-71,-306,-335,-279,0,8,30,28,16,578,602,403,16,586,632,431,19,15,11,-2
"Bluefield, WV-VA",14140,Micropolitan Statistical Area,WV-VA,97177,-0.010165521,99926,99106,98175,97177,-165,-820,-931,-998,253,889,877,857,397,1921,1996,1731,-144,-1032,-1119,-874,2,23,59,36,-34,120,193,-159,-32,143,252,-123,11,69,-64,-1
"Blytheville, AR",14180,Micropolitan Statistical Area,AR,38663,-0.005146283,40538,39534,38863,38663,-144,-1004,-671,-200,139,536,530,526,135,682,610,571,4,-146,-80,-45,0,5,16,17,-141,-834,-617,-173,-141,-829,-601,-156,-7,-29,10,1
"Bogalusa, LA",14220,Micropolitan Statistical Area,LA,44865,-0.00280056,45357,45198,44991,44865,-106,-159,-207,-126,140,575,560,566,206,733,765,687,-66,-158,-205,-121,0,1,-2,-1,-46,-34,29,-5,-46,-33,27,-6,6,32,-29,1
"Boise City, ID",14260,Metropolitan Statistical Area,ID,824657,0.016394796,770223,797026,811355,824657,5509,26803,14329,13302,2173,8572,8786,8841,1363,6466,7123,6228,810,2106,1663,2613,27,252,724,2358,5009,25408,11640,8301,5036,25660,12364,10659,-337,-963,302,30
"Bonham, TX",14300,Micropolitan Statistical Area,TX,37571,0.013378287,35801,36723,37075,37571,140,922,352,496,102,375,357,365,102,573,598,543,0,-198,-241,-178,0,7,6,5,144,1161,576,668,144,1168,582,673,-4,-48,11,1
"Boone, NC",14380,Micropolitan Statistical Area,NC,54748,-0.004817043,54122,54968,55013,54748,45,846,45,-265,70,321,304,306,93,473,462,446,-23,-152,-158,-140,1,21,34,34,52,1002,202,-161,53,1023,236,-127,15,-25,-33,2
"Borger, TX",14420,Micropolitan Statistical Area,TX,20033,-0.009346257,20569,20438,20222,20033,-44,-131,-216,-189,65,233,235,237,59,329,351,339,6,-96,-116,-102,0,0,-6,-6,-48,-45,-91,-81,-48,-45,-97,-87,-2,10,-3,0
