Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Spokane-Spokane Valley, WA",44060,Metropolitan Statistical Area,WA,600292,0.003794168,587766,593129,598023,600292,1976,5363,4894,2269,1601,6219,6332,6150,1318,6065,6538,6189,283,154,-206,-39,7,278,626,517,1688,4738,4476,1768,1695,5016,5102,2285,-2,193,-2,23
"Springfield, IL",44100,Metropolitan Statistical Area,IL,205445,-0.003772615,208414,207538,206223,205445,-222,-876,-1315,-778,559,2201,2023,1959,585,2333,2369,2227,-26,-132,-346,-268,1,108,257,321,-214,-947,-1191,-842,-213,-839,-934,-521,17,95,-35,11
"Springfield, MA",44140,Metropolitan Statistical Area,MA,460291,-0.001013547,464311,462862,460758,460291,-1528,-1449,-2104,-467,1189,4720,4798,4808,1789,5188,5133,4951,-600,-468,-335,-143,64,578,1381,1581,-955,-1825,-3056,-1931,-891,-1247,-1675,-350,-37,266,-94,26
"Springfield, MO",44180,Metropolitan Statistical Area,MO,491053,0.008465265,476371,481693,486931,491053,938,5322,5238,4122,1322,5360,5515,5508,1119,5753,5879,5242,203,-393,-364,266,8,229,598,459,682,5418,5029,3392,690,5647,5627,3851,45,68,-25,5
"Springfield, OH",44220,Metropolitan Statistical Area,OH,134610,-0.000905501,135887,135608,134732,134610,-84,-279,-876,-122,381,1478,1543,1535,433,2245,2186,1933,-52,-767,-643,-398,1,47,127,143,-60,359,-310,133,-59,406,-183,276,27,82,-50,0
"St. Cloud, MN",41060,Metropolitan Statistical Area,MN,202577,0.004094156,199835,200737,201751,202577,163,902,1014,826,658,2399,2457,2440,428,1786,1745,1630,230,613,712,810,11,389,844,820,-121,-221,-463,-823,-110,168,381,-3,43,121,-79,19
"St. George, UT",41100,Metropolitan Statistical Area,UT,202452,0.02388105,182015,191513,197730,202452,1740,9498,6217,4722,533,2251,2326,2298,416,1800,1970,1762,117,451,356,536,0,16,62,173,1791,9484,5553,4023,1791,9500,5615,4196,-168,-453,246,-10
"St. Joseph, MO-KS",41140,Metropolitan Statistical Area,MO-KS,118475,-0.010167764,121643,120784,119692,118475,172,-859,-1092,-1217,353,1376,1329,1329,311,1684,1561,1444,42,-308,-232,-115,3,48,154,151,292,-630,-1032,-1267,295,-582,-878,-1116,-165,31,18,14
"St. Louis, MO-IL",41180,Metropolitan Statistical Area,MO-IL,2796999,-0.001159184,2819212,2812587,2800245,2796999,-1073,-6625,-12342,-3246,7467,29927,29276,27695,8332,33048,32830,29212,-865,-3121,-3554,-1517,124,1956,4807,3856,-756,-6288,-13246,-5603,-632,-4332,-8439,-1747,424,828,-349,18
"St. Marys, PA",41260,Micropolitan Statistical Area,PA,30198,-0.008829225,30946,30796,30467,30198,-54,-150,-329,-269,61,246,259,259,82,422,473,445,-21,-176,-214,-186,0,0,-2,-2,-33,9,-103,-81,-33,9,-105,-83,0,17,-10,0
"Starkville, MS",44260,Micropolitan Statistical Area,MS,61191,-0.00223389,61611,61782,61328,61191,-100,171,-454,-137,159,617,628,622,169,624,633,582,-10,-7,-5,40,7,55,114,272,-108,75,-561,-456,-101,130,-447,-184,11,48,-2,7
