Geographic Area Name,CBSA code,Metro vs Micro,Population,States,Primary State,Primary State Name
"Martinsville, VA Micro Area",32300,Micropolitan Statistical Area,63949,VA,VA,Virginia
"Maryville, MO Micro Area",32340,Micropolitan Statistical Area,20959,MO,MO,Missouri
"Mason City, IA Micro Area",32380,Micropolitan Statistical Area,50165,IA,IA,Iowa
"Massena-Ogdensburg, NY Micro Area",32390,Micropolitan Statistical Area,107796,NY,NY,New York
"Mayfield, KY Micro Area",32460,Micropolitan Statistical Area,36612,KY,KY,Kentucky
"McAlester, OK Micro Area",32540,Micropolitan Statistical Area,43629,OK,OK,Oklahoma
"McComb, MS Micro Area",32620,Micropolitan Statistical Area,53794,MS,MS,Mississippi
"McMinnville, TN Micro Area",32660,Micropolitan Statistical Area,41587,TN,TN,Tennessee
"McPherson, KS Micro Area",32700,Micropolitan Statistical Area,30130,KS,KS,Kansas
"Meadville, PA Micro Area",32740,Micropolitan Statistical Area,83189,PA,PA,Pennsylvania
"Menomonie, WI Micro Area",32860,Micropolitan Statistical Area,45349,WI,WI,Wisconsin
"Meridian, MS Micro Area",32940,Micropolitan Statistical Area,87408,MS,MS,Mississippi
"Mexico, MO Micro Area",33020,Micropolitan Statistical Area,24688,MO,MO,Missouri
"Miami, OK Micro Area",33060,Micropolitan Statistical Area,30360,OK,OK,Oklahoma
"Middlesborough, KY Micro Area",33180,Micropolitan Statistical Area,23878,KY,KY,Kentucky
"Milledgeville, GA Micro Area",33300,Micropolitan Statistical Area,43669,GA,GA,Georgia
"Minden, LA Micro Area",33380,Micropolitan Statistical Area,36189,LA,LA,Louisiana
"Mineral Wells, TX Micro Area",33420,Micropolitan Statistical Area,28920,TX,TX,Texas
"Mitchell, SD Micro Area",33580,Micropolitan Statistical Area,25779,SD,SD,South Dakota
"Moberly, MO Micro Area",33620,Micropolitan Statistical Area,24524,MO,MO,Missouri
"Monticello, IN Micro Area",33900,Micropolitan Statistical Area,24709,IN,IN,Indiana
"Monticello, NY Micro Area",33910,Micropolitan Statistical Area,79147,NY,NY,New York
"Montrose, CO Micro Area",33940,Micropolitan Statistical Area,43272,CO,CO,Colorado
"Morehead City, NC Micro Area",33980,Micropolitan Statistical Area,68652,NC,NC,North Carolina
"Morgan City, LA Micro Area",34020,Micropolitan Statistical Area,48455,LA,LA,Louisiana
"Moscow, ID Micro Area",34140,Micropolitan Statistical Area,40315,ID,ID,Idaho
"Moses Lake, WA Micro Area",34180,Micropolitan Statistical Area,100428,WA,WA,Washington
"Moultrie, GA Micro Area",34220,Micropolitan Statistical Area,45907,GA,GA,Georgia
"Mountain Home, AR Micro Area",34260,Micropolitan Statistical Area,42150,AR,AR,Arkansas
"Mountain Home, ID Micro Area",34300,Micropolitan Statistical Area,29046,ID,ID,Idaho
"Mount Airy, NC Micro Area",34340,Micropolitan Statistical Area,71407,NC,NC,North Carolina
"Mount Pleasant, MI Micro Area",34380,Micropolitan Statistical Area,64475,MI,MI,Michigan
"Mount Pleasant, TX Micro Area",34420,Micropolitan Statistical Area,55950,TX,TX,Texas
"Mount Sterling, KY Micro Area",34460,Micropolitan Statistical Area,47286,KY,KY,Kentucky
"Mount Vernon, IL Micro Area",34500,Micropolitan Statistical Area,36808,IL,IL,Illinois
"Mount Vernon, OH Micro Area",34540,Micropolitan Statistical Area,62888,OH,OH,Ohio
"Murray, KY Micro Area",34660,Micropolitan Statistical Area,37882,KY,KY,Kentucky
"Murrells Inlet, SC Micro Area",34680,Micropolitan Statistical Area,64200,SC,SC,South Carolina
"Muscatine, IA Micro Area",34700,Micropolitan Statistical Area,42735,IA,IA,Iowa
"Muskogee, OK Micro Area",34780,Micropolitan Statistical Area,66471,OK,OK,Oklahoma
"Nacogdoches, TX Micro Area",34860,Micropolitan Statistical Area,64897,TX,TX,Texas
"Nantucket, MA Micro Area",34880,Micropolitan Statistical Area,14299,MA,MA,Massachusetts
"Natchez, MS-LA Micro Area",35020,Micropolitan Statistical Area,54550,MS-LA,MS,Mississippi
"Natchitoches, LA Micro Area",35060,Micropolitan Statistical Area,37047,LA,LA,Louisiana
"New Bern, NC Micro Area",35100,Micropolitan Statistical Area,122634,NC,NC,North Carolina
"Newberry, SC Micro Area",35140,Micropolitan Statistical Area,38121,SC,SC,South Carolina
"New Castle, IN Micro Area",35220,Micropolitan Statistical Area,48896,IN,IN,Indiana
"New Iberia, LA Micro Area",35340,Micropolitan Statistical Area,69194,LA,LA,Louisiana
"New Philadelphia-Dover, OH Micro Area",35420,Micropolitan Statistical Area,92585,OH,OH,Ohio
"Newport, OR Micro Area",35440,Micropolitan Statistical Area,50632,OR,OR,Oregon
"Newport, TN Micro Area",35460,Micropolitan Statistical Area,36503,TN,TN,Tennessee
"New Ulm, MN Micro Area",35580,Micropolitan Statistical Area,25826,MN,MN,Minnesota
"Nogales, AZ Micro Area",35700,Micropolitan Statistical Area,48209,AZ,AZ,Arizona
"Norfolk, NE Micro Area",35740,Micropolitan Statistical Area,48682,NE,NE,Nebraska
"North Platte, NE Micro Area",35820,Micropolitan Statistical Area,34934,NE,NE,Nebraska
"North Wilkesboro, NC Micro Area",35900,Micropolitan Statistical Area,65983,NC,NC,North Carolina
"Norwalk, OH Micro Area",35940,Micropolitan Statistical Area,58412,OH,OH,Ohio
"Oak Harbor, WA Micro Area",36020,Micropolitan Statistical Area,86747,WA,WA,Washington
"Ocean Pines, MD Micro Area",36180,Micropolitan Statistical Area,53279,MD,MD,Maryland
"Oil City, PA Micro Area",36340,Micropolitan Statistical Area,50096,PA,PA,Pennsylvania
"Okeechobee, FL Micro Area",36380,Micropolitan Statistical Area,40249,FL,FL,Florida
"Olean, NY Micro Area",36460,Micropolitan Statistical Area,76479,NY,NY,New York
"Oneonta, NY Micro Area",36580,Micropolitan Statistical Area,59738,NY,NY,New York
"Ontario, OR-ID Micro Area",36620,Micropolitan Statistical Area,57891,OR-ID,OR,Oregon
"Opelousas, LA Micro Area",36660,Micropolitan Statistical Area,82128,LA,LA,Louisiana
"Orangeburg, SC Micro Area",36700,Micropolitan Statistical Area,83531,SC,SC,South Carolina
"Oskaloosa, IA Micro Area",36820,Micropolitan Statistical Area,22045,IA,IA,Iowa
"Othello, WA Micro Area",36830,Micropolitan Statistical Area,20690,WA,WA,Washington
"Ottawa, IL Micro Area",36837,Micropolitan Statistical Area,147676,IL,IL,Illinois
"Ottawa, KS Micro Area",36840,Micropolitan Statistical Area,25994,KS,KS,Kansas
"Ottumwa, IA Micro Area",36900,Micropolitan Statistical Area,35265,IA,IA,Iowa
"Owatonna, MN Micro Area",36940,Micropolitan Statistical Area,37413,MN,MN,Minnesota
"Owosso, MI Micro Area",37020,Micropolitan Statistical Area,68061,MI,MI,Michigan
"Oxford, MS Micro Area",37060,Micropolitan Statistical Area,69359,MS,MS,Mississippi
"Ozark, AL Micro Area",37120,Micropolitan Statistical Area,49516,AL,AL,Alabama
"Pahrump, NV Micro Area",37220,Micropolitan Statistical Area,53207,NV,NV,Nevada
"Palatka, FL Micro Area",37260,Micropolitan Statistical Area,74235,FL,FL,Florida
"Palestine, TX Micro Area",37300,Micropolitan Statistical Area,57825,TX,TX,Texas
"Pampa, TX Micro Area",37420,Micropolitan Statistical Area,21916,TX,TX,Texas
"Paragould, AR Micro Area",37500,Micropolitan Statistical Area,46182,AR,AR,Arkansas
"Paris, TN Micro Area",37540,Micropolitan Statistical Area,32345,TN,TN,Tennessee
"Paris, TX Micro Area",37580,Micropolitan Statistical Area,62042,TX,TX,Texas
"Payson, AZ Micro Area",37740,Micropolitan Statistical Area,53610,AZ,AZ,Arizona
"Pella, IA Micro Area",37800,Micropolitan Statistical Area,33551,IA,IA,Iowa
"Peru, IN Micro Area",37940,Micropolitan Statistical Area,35772,IN,IN,Indiana
"Petoskey, MI Micro Area",37950,Micropolitan Statistical Area,34159,MI,MI,Michigan
"Picayune, MS Micro Area",38100,Micropolitan Statistical Area,56781,MS,MS,Mississippi
"Pierre, SD Micro Area",38180,Micropolitan Statistical Area,20744,SD,SD,South Dakota
"Pikeville, KY Micro Area",38210,Micropolitan Statistical Area,92808,KY,KY,Kentucky
"Pine Bluff, AR Micro Area",38220,Micropolitan Statistical Area,73271,AR,AR,Arkansas
"Pittsburg, KS Micro Area",38260,Micropolitan Statistical Area,38963,KS,KS,Kansas
"Plainview, TX Micro Area",38380,Micropolitan Statistical Area,37541,TX,TX,Texas
"Platteville, WI Micro Area",38420,Micropolitan Statistical Area,51678,WI,WI,Wisconsin
"Plattsburgh, NY Micro Area",38460,Micropolitan Statistical Area,78961,NY,NY,New York
"Plymouth, IN Micro Area",38500,Micropolitan Statistical Area,46225,IN,IN,Indiana
"Ponca City, OK Micro Area",38620,Micropolitan Statistical Area,43731,OK,OK,Oklahoma
"Pontiac, IL Micro Area",38700,Micropolitan Statistical Area,35659,IL,IL,Illinois
"Poplar Bluff, MO Micro Area",38740,Micropolitan Statistical Area,42166,MO,MO,Missouri
"Port Angeles, WA Micro Area",38820,Micropolitan Statistical Area,77593,WA,WA,Washington
"Port Lavaca, TX Micro Area",38920,Micropolitan Statistical Area,19921,TX,TX,Texas
"Portsmouth, OH Micro Area",39020,Micropolitan Statistical Area,73118,OH,OH,Ohio
"Port Townsend, WA Micro Area",39040,Micropolitan Statistical Area,33313,WA,WA,Washington
"Pottsville, PA Micro Area",39060,Micropolitan Statistical Area,143259,PA,PA,Pennsylvania
"Price, UT Micro Area",39220,Micropolitan Statistical Area,20446,UT,UT,Utah
"Pullman, WA Micro Area",39420,Micropolitan Statistical Area,47042,WA,WA,Washington
"Putnam, CT Micro Area",39480,Micropolitan Statistical Area,95829,CT,CT,Connecticut
"Quincy, IL-MO Micro Area",39500,Micropolitan Statistical Area,75111,IL-MO,IL,Illinois
"Raymondville, TX Micro Area",39700,Micropolitan Statistical Area,20218,TX,TX,Texas
"Red Bluff, CA Micro Area",39780,Micropolitan Statistical Area,65520,CA,CA,California
"Red Wing, MN Micro Area",39860,Micropolitan Statistical Area,47844,MN,MN,Minnesota
"Rexburg, ID Micro Area",39940,Micropolitan Statistical Area,67279,ID,ID,Idaho
"Rice Lake, WI Micro Area",39960,Micropolitan Statistical Area,46741,WI,WI,Wisconsin
"Richmond, IN Micro Area",39980,Micropolitan Statistical Area,66377,IN,IN,Indiana
"Richmond-Berea, KY Micro Area",40080,Micropolitan Statistical Area,124287,KY,KY,Kentucky
"Rifle, CO Micro Area",40090,Micropolitan Statistical Area,79153,CO,CO,Colorado
"Rio Grande City-Roma, TX Micro Area",40100,Micropolitan Statistical Area,65809,TX,TX,Texas
"Riverton, WY Micro Area",40180,Micropolitan Statistical Area,39472,WY,WY,Wyoming
"Roanoke Rapids, NC Micro Area",40260,Micropolitan Statistical Area,65431,NC,NC,North Carolina
"Rochelle, IL Micro Area",40300,Micropolitan Statistical Area,51536,IL,IL,Illinois
"Rockingham, NC Micro Area",40460,Micropolitan Statistical Area,42818,NC,NC,North Carolina
"Rock Springs, WY Micro Area",40540,Micropolitan Statistical Area,41786,WY,WY,Wyoming
"Rolla, MO Micro Area",40620,Micropolitan Statistical Area,44948,MO,MO,Missouri
"Roseburg, OR Micro Area",40700,Micropolitan Statistical Area,111807,OR,OR,Oregon
"Roswell, NM Micro Area",40740,Micropolitan Statistical Area,64446,NM,NM,New Mexico
"Ruidoso, NM Micro Area",40760,Micropolitan Statistical Area,20227,NM,NM,New Mexico
"Russellville, AL Micro Area",40770,Micropolitan Statistical Area,31978,AL,AL,Alabama
"Russellville, AR Micro Area",40780,Micropolitan Statistical Area,84025,AR,AR,Arkansas
"Ruston, LA Micro Area",40820,Micropolitan Statistical Area,48160,LA,LA,Louisiana
"Rutland, VT Micro Area",40860,Micropolitan Statistical Area,60484,VT,VT,Vermont
"Safford, AZ Micro Area",40940,Micropolitan Statistical Area,38860,AZ,AZ,Arizona
"St. Marys, PA Micro Area",41260,Micropolitan Statistical Area,30703,PA,PA,Pennsylvania
"Salem, OH Micro Area",41400,Micropolitan Statistical Area,101203,OH,OH,Ohio
"Salina, KS Micro Area",41460,Micropolitan Statistical Area,59583,KS,KS,Kansas
"Sandpoint, ID Micro Area",41760,Micropolitan Statistical Area,49456,ID,ID,Idaho
"Sanford, NC Micro Area",41820,Micropolitan Statistical Area,64565,NC,NC,North Carolina
"Sault Ste. Marie, MI Micro Area",42300,Micropolitan Statistical Area,36448,MI,MI,Michigan
"Sayre, PA Micro Area",42380,Micropolitan Statistical Area,59971,PA,PA,Pennsylvania
"Scottsbluff, NE Micro Area",42420,Micropolitan Statistical Area,36594,NE,NE,Nebraska
"Scottsboro, AL Micro Area",42460,Micropolitan Statistical Area,52839,AL,AL,Alabama
"Seaford, DE Micro Area",42580,Micropolitan Statistical Area,247799,DE,DE,Delaware
"Searcy, AR Micro Area",42620,Micropolitan Statistical Area,77395,AR,AR,Arkansas
"Sedalia, MO Micro Area",42740,Micropolitan Statistical Area,43205,MO,MO,Missouri
"Selinsgrove, PA Micro Area",42780,Micropolitan Statistical Area,39711,PA,PA,Pennsylvania
"Selma, AL Micro Area",42820,Micropolitan Statistical Area,37536,AL,AL,Alabama
"Seneca, SC Micro Area",42860,Micropolitan Statistical Area,79566,SC,SC,South Carolina
"Seneca Falls, NY Micro Area",42900,Micropolitan Statistical Area,33125,NY,NY,New York
"Sevierville, TN Micro Area",42940,Micropolitan Statistical Area,98802,TN,TN,Tennessee
"Seymour, IN Micro Area",42980,Micropolitan Statistical Area,46319,IN,IN,Indiana
"Shawano, WI Micro Area",43020,Micropolitan Statistical Area,45183,WI,WI,Wisconsin
"Shawnee, OK Micro Area",43060,Micropolitan Statistical Area,73011,OK,OK,Oklahoma
"Shelby-Kings Mountain, NC Micro Area",43140,Micropolitan Statistical Area,100170,NC,NC,North Carolina
"Shelbyville, TN Micro Area",43180,Micropolitan Statistical Area,51291,TN,TN,Tennessee
"Shelton, WA Micro Area",43220,Micropolitan Statistical Area,66968,WA,WA,Washington
"Sheridan, WY Micro Area",43260,Micropolitan Statistical Area,31585,WY,WY,Wyoming
"Show Low, AZ Micro Area",43320,Micropolitan Statistical Area,107744,AZ,AZ,Arizona
"Sidney, OH Micro Area",43380,Micropolitan Statistical Area,48007,OH,OH,Ohio
"Sikeston, MO Micro Area",43460,Micropolitan Statistical Area,50046,MO,MO,Missouri
"Silver City, NM Micro Area",43500,Micropolitan Statistical Area,27856,NM,NM,New Mexico
"Snyder, TX Micro Area",43660,Micropolitan Statistical Area,16633,TX,TX,Texas
"Somerset, KY Micro Area",43700,Micropolitan Statistical Area,65503,KY,KY,Kentucky
"Somerset, PA Micro Area",43740,Micropolitan Statistical Area,73255,PA,PA,Pennsylvania
"Sonora, CA Micro Area",43760,Micropolitan Statistical Area,54873,CA,CA,California
"Sparta, WI Micro Area",43890,Micropolitan Statistical Area,46169,WI,WI,Wisconsin
"Spearfish, SD Micro Area",43940,Micropolitan Statistical Area,26574,SD,SD,South Dakota
"Spencer, IA Micro Area",43980,Micropolitan Statistical Area,16446,IA,IA,Iowa
"Spirit Lake, IA Micro Area",44020,Micropolitan Statistical Area,17844,IA,IA,Iowa
"Starkville, MS Micro Area",44260,Micropolitan Statistical Area,61415,MS,MS,Mississippi
"Statesboro, GA Micro Area",44340,Micropolitan Statistical Area,92112,GA,GA,Georgia
"Steamboat Springs, CO Micro Area",44460,Micropolitan Statistical Area,38248,CO,CO,Colorado
"Stephenville, TX Micro Area",44500,Micropolitan Statistical Area,43244,TX,TX,Texas
"Sterling, CO Micro Area",44540,Micropolitan Statistical Area,21067,CO,CO,Colorado
"Sterling, IL Micro Area",44580,Micropolitan Statistical Area,55192,IL,IL,Illinois
"Stevens Point-Plover, WI Micro Area",44620,Micropolitan Statistical Area,70375,WI,WI,Wisconsin
"Stillwater, OK Micro Area",44660,Micropolitan Statistical Area,82290,OK,OK,Oklahoma
"Storm Lake, IA Micro Area",44740,Micropolitan Statistical Area,20684,IA,IA,Iowa
"Sturgis, MI Micro Area",44780,Micropolitan Statistical Area,60870,MI,MI,Michigan
"Sulphur Springs, TX Micro Area",44860,Micropolitan Statistical Area,37351,TX,TX,Texas
"Summerville, GA Micro Area",44900,Micropolitan Statistical Area,24975,GA,GA,Georgia
"Sunbury, PA Micro Area",44980,Micropolitan Statistical Area,109004,PA,PA,Pennsylvania
"Susanville, CA Micro Area",45000,Micropolitan Statistical Area,31177,CA,CA,California
"Sweetwater, TX Micro Area",45020,Micropolitan Statistical Area,14565,TX,TX,Texas
"Tahlequah, OK Micro Area",45140,Micropolitan Statistical Area,47621,OK,OK,Oklahoma
"Talladega-Sylacauga, AL Micro Area",45180,Micropolitan Statistical Area,91493,AL,AL,Alabama
"Taos, NM Micro Area",45340,Micropolitan Statistical Area,34516,NM,NM,New Mexico
"Taylorville, IL Micro Area",45380,Micropolitan Statistical Area,33684,IL,IL,Illinois
"The Dalles, OR Micro Area",45520,Micropolitan Statistical Area,26603,OR,OR,Oregon
"Thomaston, GA Micro Area",45580,Micropolitan Statistical Area,27856,GA,GA,Georgia
"Thomasville, GA Micro Area",45620,Micropolitan Statistical Area,71752,GA,GA,Georgia
"Tiffin, OH Micro Area",45660,Micropolitan Statistical Area,54861,OH,OH,Ohio
"Tifton, GA Micro Area",45700,Micropolitan Statistical Area,50237,GA,GA,Georgia
"Toccoa, GA Micro Area",45740,Micropolitan Statistical Area,26842,GA,GA,Georgia
"Torrington, CT Micro Area",45860,Micropolitan Statistical Area,112848,CT,CT,Connecticut
"Town of Pecos, TX Micro Area",45880,Micropolitan Statistical Area,13219,TX,TX,Texas
"Troy, AL Micro Area",45980,Micropolitan Statistical Area,32953,AL,AL,Alabama
"Truckee-Grass Valley, CA Micro Area",46020,Micropolitan Statistical Area,102452,CA,CA,California
"Tullahoma-Manchester, TN Micro Area",46100,Micropolitan Statistical Area,65551,TN,TN,Tennessee
"Tupelo, MS Micro Area",46180,Micropolitan Statistical Area,132079,MS,MS,Mississippi
"Ukiah, CA Micro Area",46380,Micropolitan Statistical Area,90709,CA,CA,California
"Union City, TN Micro Area",46460,Micropolitan Statistical Area,30570,TN,TN,Tennessee
"Urbana, OH Micro Area",46500,Micropolitan Statistical Area,38772,OH,OH,Ohio
"Utuado, PR Micro Area",46580,Micropolitan Statistical Area,27896,PR,PR,Puerto Rico
"Uvalde, TX Micro Area",46620,Micropolitan Statistical Area,24810,TX,TX,Texas
"Van Wert, OH Micro Area",46780,Micropolitan Statistical Area,28824,OH,OH,Ohio
"Vermillion, SD Micro Area",46820,Micropolitan Statistical Area,15133,SD,SD,South Dakota
"Vernal, UT Micro Area",46860,Micropolitan Statistical Area,36458,UT,UT,Utah
"Vernon, TX Micro Area",46900,Micropolitan Statistical Area,12712,TX,TX,Texas
"Vicksburg, MS Micro Area",46980,Micropolitan Statistical Area,43623,MS,MS,Mississippi
"Vidalia, GA Micro Area",47080,Micropolitan Statistical Area,35618,GA,GA,Georgia
"Vincennes, IN Micro Area",47180,Micropolitan Statistical Area,36108,IN,IN,Indiana
"Vineyard Haven, MA Micro Area",47240,Micropolitan Statistical Area,20751,MA,MA,Massachusetts
"Wabash, IN Micro Area",47340,Micropolitan Statistical Area,30901,IN,IN,Indiana
"Wahpeton, ND-MN Micro Area",47420,Micropolitan Statistical Area,22963,ND-MN,ND,North Dakota
"Wapakoneta, OH Micro Area",47540,Micropolitan Statistical Area,46209,OH,OH,Ohio
"Warren, PA Micro Area",47620,Micropolitan Statistical Area,38174,PA,PA,Pennsylvania
"Warrensburg, MO Micro Area",47660,Micropolitan Statistical Area,54331,MO,MO,Missouri
"Warsaw, IN Micro Area",47700,Micropolitan Statistical Area,80357,IN,IN,Indiana
"Washington, IN Micro Area",47780,Micropolitan Statistical Area,33442,IN,IN,Indiana
"Washington, NC Micro Area",47820,Micropolitan Statistical Area,44597,NC,NC,North Carolina
"Washington Court House, OH Micro Area",47920,Micropolitan Statistical Area,28880,OH,OH,Ohio
"Watertown, SD Micro Area",47980,Micropolitan Statistical Area,28556,SD,SD,South Dakota
"Watertown-Fort Atkinson, WI Micro Area",48020,Micropolitan Statistical Area,85867,WI,WI,Wisconsin
"Waycross, GA Micro Area",48180,Micropolitan Statistical Area,55954,GA,GA,Georgia
"Waynesville, NC Micro Area",48200,Micropolitan Statistical Area,62432,NC,NC,North Carolina
"Weatherford, OK Micro Area",48220,Micropolitan Statistical Area,39189,OK,OK,Oklahoma
"West Plains, MO Micro Area",48460,Micropolitan Statistical Area,40168,MO,MO,Missouri
"Whitewater-Elkhorn, WI Micro Area",48580,Micropolitan Statistical Area,105447,WI,WI,Wisconsin
"Williston, ND Micro Area",48780,Micropolitan Statistical Area,39368,ND,ND,North Dakota
"Willmar, MN Micro Area",48820,Micropolitan Statistical Area,43757,MN,MN,Minnesota
"Wilmington, OH Micro Area",48940,Micropolitan Statistical Area,42014,OH,OH,Ohio
"Wilson, NC Micro Area",48980,Micropolitan Statistical Area,78648,NC,NC,North Carolina
"Winchester, TN Micro Area",49010,Micropolitan Statistical Area,43478,TN,TN,Tennessee
"Winnemucca, NV Micro Area",49080,Micropolitan Statistical Area,17299,NV,NV,Nevada
"Winona, MN Micro Area",49100,Micropolitan Statistical Area,49705,MN,MN,Minnesota
"Wisconsin Rapids-Marshfield, WI Micro Area",49220,Micropolitan Statistical Area,74039,WI,WI,Wisconsin
"Woodward, OK Micro Area",49260,Micropolitan Statistical Area,20260,OK,OK,Oklahoma
"Wooster, OH Micro Area",49300,Micropolitan Statistical Area,116618,OH,OH,Ohio
"Worthington, MN Micro Area",49380,Micropolitan Statistical Area,22067,MN,MN,Minnesota
"Yankton, SD Micro Area",49460,Micropolitan Statistical Area,23379,SD,SD,South Dakota
"Zanesville, OH Micro Area",49780,Micropolitan Statistical Area,86382,OH,OH,Ohio
"Zapata, TX Micro Area",49820,Micropolitan Statistical Area,13855,TX,TX,Texas
"Abilene, TX Metro Area",10180,Metropolitan Statistical Area,178244,TX,TX,Texas
"Aguadilla, PR Metro Area",10380,Metropolitan Statistical Area,252430,PR,PR,Puerto Rico
"Akron, OH Metro Area",10420,Metropolitan Statistical Area,699508,OH,OH,Ohio
"Albany, GA Metro Area",10500,Metropolitan Statistical Area,146768,GA,GA,Georgia
"Albany, OR Metro Area",10540,Metropolitan Statistical Area,129794,OR,OR,Oregon
"Albany-Schenectady-Troy, NY Metro Area",10580,Metropolitan Statistical Area,902372,NY,NY,New York
"Albuquerque, NM Metro Area",10740,Metropolitan Statistical Area,918567,NM,NM,New Mexico
"Alexandria, LA Metro Area",10780,Metropolitan Statistical Area,150593,LA,LA,Louisiana
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,Metropolitan Statistical Area,866764,PA-NJ,PA,Pennsylvania
"Altoona, PA Metro Area",11020,Metropolitan Statistical Area,121854,PA,PA,Pennsylvania
"Amarillo, TX Metro Area",11100,Metropolitan Statistical Area,270207,TX,TX,Texas
"Ames, IA Metro Area",11180,Metropolitan Statistical Area,125261,IA,IA,Iowa
"Amherst Town-Northampton, MA Metro Area",11200,Metropolitan Statistical Area,156595,MA,MA,Massachusetts
"Anchorage, AK Metro Area",11260,Metropolitan Statistical Area,399746,AK,AK,Alaska
"Ann Arbor, MI Metro Area",11460,Metropolitan Statistical Area,368394,MI,MI,Michigan
"Anniston-Oxford, AL Metro Area",11500,Metropolitan Statistical Area,116141,AL,AL,Alabama
"Appleton, WI Metro Area",11540,Metropolitan Statistical Area,244163,WI,WI,Wisconsin
"Arecibo, PR Metro Area",11640,Metropolitan Statistical Area,181380,PR,PR,Puerto Rico
"Asheville, NC Metro Area",11700,Metropolitan Statistical Area,410817,NC,NC,North Carolina
"Athens-Clarke County, GA Metro Area",12020,Metropolitan Statistical Area,218190,GA,GA,Georgia
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,Metropolitan Statistical Area,6176937,GA,GA,Georgia
"Atlantic City-Hammonton, NJ Metro Area",12100,Metropolitan Statistical Area,369940,NJ,NJ,New Jersey
"Auburn-Opelika, AL Metro Area",12220,Metropolitan Statistical Area,196614,AL,AL,Alabama
"Augusta-Richmond County, GA-SC Metro Area",12260,Metropolitan Statistical Area,618022,GA-SC,GA,Georgia
"Austin-Round Rock-San Marcos, TX Metro Area",12420,Metropolitan Statistical Area,2357497,TX,TX,Texas
"Bakersfield-Delano, CA Metro Area",12540,Metropolitan Statistical Area,910433,CA,CA,California
"Baltimore-Columbia-Towson, MD Metro Area",12580,Metropolitan Statistical Area,2839409,MD,MD,Maryland
"Bangor, ME Metro Area",12620,Metropolitan Statistical Area,153571,ME,ME,Maine
"Barnstable Town, MA Metro Area",12700,Metropolitan Statistical Area,230073,MA,MA,Massachusetts
"Baton Rouge, LA Metro Area",12940,Metropolitan Statistical Area,871379,LA,LA,Louisiana
"Battle Creek, MI Metro Area",12980,Metropolitan Statistical Area,133846,MI,MI,Michigan
"Bay City, MI Metro Area",13020,Metropolitan Statistical Area,103235,MI,MI,Michigan
"Beaumont-Port Arthur, TX Metro Area",13140,Metropolitan Statistical Area,396058,TX,TX,Texas
"Beckley, WV Metro Area",13220,Metropolitan Statistical Area,113653,WV,WV,West Virginia
"Bellingham, WA Metro Area",13380,Metropolitan Statistical Area,228432,WA,WA,Washington
"Bend, OR Metro Area",13460,Metropolitan Statistical Area,253650,OR,OR,Oregon
"Billings, MT Metro Area",13740,Metropolitan Statistical Area,187269,MT,MT,Montana
"Binghamton, NY Metro Area",13780,Metropolitan Statistical Area,245844,NY,NY,New York
"Birmingham, AL Metro Area",13820,Metropolitan Statistical Area,1181432,AL,AL,Alabama
"Bismarck, ND Metro Area",13900,Metropolitan Statistical Area,134286,ND,ND,North Dakota
"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,Metropolitan Statistical Area,181605,VA,VA,Virginia
"Bloomington, IL Metro Area",14010,Metropolitan Statistical Area,170882,IL,IL,Illinois
"Bloomington, IN Metro Area",14020,Metropolitan Statistical Area,161256,IN,IN,Indiana
"Boise City, ID Metro Area",14260,Metropolitan Statistical Area,790640,ID,ID,Idaho
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,Metropolitan Statistical Area,4917661,MA-NH,MA,Massachusetts
"Boulder, CO Metro Area",14500,Metropolitan Statistical Area,328317,CO,CO,Colorado
"Bowling Green, KY Metro Area",14540,Metropolitan Statistical Area,183194,KY,KY,Kentucky
"Bozeman, MT Metro Area",14580,Metropolitan Statistical Area,122194,MT,MT,Montana
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14740,Metropolitan Statistical Area,276581,WA,WA,Washington
"Bridgeport-Stamford-Danbury, CT Metro Area",14860,Metropolitan Statistical Area,947528,CT,CT,Connecticut
"Brownsville-Harlingen, TX Metro Area",15180,Metropolitan Statistical Area,423192,TX,TX,Texas
"Brunswick-St. Simons, GA Metro Area",15260,Metropolitan Statistical Area,114345,GA,GA,Georgia
"Buffalo-Cheektowaga, NY Metro Area",15380,Metropolitan Statistical Area,1161385,NY,NY,New York
"Burlington, NC Metro Area",15500,Metropolitan Statistical Area,174286,NC,NC,North Carolina
"Burlington-South Burlington, VT Metro Area",15540,Metropolitan Statistical Area,226603,VT,VT,Vermont
"Canton-Massillon, OH Metro Area",15940,Metropolitan Statistical Area,400495,OH,OH,Ohio
"Cape Coral-Fort Myers, FL Metro Area",15980,Metropolitan Statistical Area,792692,FL,FL,Florida
"Cape Girardeau, MO-IL Metro Area",16020,Metropolitan Statistical Area,97813,MO-IL,MO,Missouri
"Carson City, NV Metro Area",16180,Metropolitan Statistical Area,58364,NV,NV,Nevada
"Casper, WY Metro Area",16220,Metropolitan Statistical Area,79735,WY,WY,Wyoming
"Cedar Rapids, IA Metro Area",16300,Metropolitan Statistical Area,275960,IA,IA,Iowa
